date,temperature,max_temperature,min_temperature,rainfall,humidity,wind_speed
2015-09-19,29.97,35.96,23.56,3.31,65.12,1.76
2015-09-20,30.84,34.84,26.77,19.61,63.97,0.84
2015-09-21,30.56,34.91,26.63,6.22,62.78,0.75
2015-09-22,29.99,35.17,25.81,5.38,64.65,2.2
2015-09-23,27.63,33.63,23.56,0.62,65.38,2.72
2015-09-24,26.77,34.22,21.26,0.0,49.99,2.61
2015-09-25,26.63,34.51,19.12,0.0,44.84,2.07
2015-09-26,28.21,35.18,20.27,0.0,46.05,1.68
2015-09-27,28.33,35.45,22.57,0.01,48.3,1.41
2015-09-28,27.93,35.62,21.54,0.0,47.6,1.57
2015-09-29,27.13,35.82,19.46,0.0,44.3,1.96
2015-09-30,26.96,36.01,19.16,0.0,44.65,2.4
2015-10-01,27.23,36.02,18.74,0.0,40.67,1.67
2015-10-02,27.03,36.3,18.65,0.0,38.82,1.74
2015-10-03,27.97,36.07,19.45,0.0,35.79,1.58
2015-10-04,28.27,37.28,19.93,0.0,35.75,1.09
2015-10-05,29.61,37.94,23.0,0.0,35.18,0.91
2015-10-06,28.34,36.12,21.88,0.0,40.94,1.64
2015-10-07,27.83,36.47,20.05,0.0,45.07,1.76
2015-10-08,27.84,36.28,20.5,0.0,43.8,1.94
2015-10-09,28.24,37.5,20.59,0.0,38.83,2.07
2015-10-10,28.39,37.41,19.81,0.0,35.41,2.2
2015-10-11,28.7,37.36,20.5,0.0,38.05,1.98
2015-10-12,28.66,35.86,20.93,0.0,39.86,1.23
2015-10-13,28.2,34.62,22.49,0.75,46.2,1.01
2015-10-14,27.23,34.34,21.13,0.95,48.75,1.31
2015-10-15,27.16,34.07,21.96,0.22,47.99,0.99
2015-10-16,28.09,35.24,20.84,0.0,40.1,1.08
2015-10-17,27.51,34.55,20.78,0.01,41.38,1.25
2015-10-18,28.4,35.17,21.84,0.0,39.24,0.95
2015-10-19,29.11,36.06,22.24,0.0,35.46,1.09
2015-10-20,28.34,35.71,23.19,0.0,38.01,1.52
2015-10-21,25.53,33.61,19.32,0.44,43.82,1.63
2015-10-22,23.64,33.31,16.06,0.02,35.83,1.88
2015-10-23,23.65,33.29,14.91,0.0,31.16,1.88
2015-10-24,25.33,33.41,16.83,0.0,30.78,1.2
2015-10-25,25.23,34.2,17.34,0.0,32.81,1.51
2015-10-26,24.61,32.41,18.04,0.03,36.48,1.43
2015-10-27,23.48,31.52,16.75,0.46,42.53,1.62
2015-10-28,19.16,21.97,15.49,7.39,64.59,1.74
2015-10-29,21.08,28.49,14.38,0.0,57.25,0.92
